Screenshots,1:1 -> Fomo,1:1 RR BE?,1:2->TP/Be,A and B Tp,ACM,Auswählen,BOS,CRV 1,CRV 2 1%,CRV 2RR NG,CRV 3,CRV 4,CRV 8,CRV Profit,CRV Runner,CRV TP Formel,CRV Teilprofit-Formel,CRV iwas,Casting ,Clean,Datum,FOMO?,HITs BE?,HTF ?,Jahr,L/S,LQ-Sweep?,Notizen ,Pips SL,Range in H,Risk Level,SL->TP,Session,TP 1 & 2,TP1 &2,TP?-2RR,Trade noch offen ?,Uhrzeit,Währungspaar,a->b
,,YES,,-1,Yes,,,1,-1,-2,-1,-1,-1,"1,7",,-1,,-1,,Yes,23. Oktober 2023 21:25 (GMT+7),No,YES,,2023,L,Yes,,32,-1,A,,NY,0,,No,,,XAU/USD1,
,,YES,,3,Yes,,,1,2,4,3,4,-1,"3,5",,0,,-1,,Yes,25. Oktober 2023 00:45 (GMT+7),No,YES,,2023,S,No,,24,1,A,,NY,"1,5",,Yes,,,XAU/USD1,
,,YES,,3,Yes,,,1,2,4,3,4,-1,"4,3",,0,,-1,,Yes,27. Oktober 2023 19:40 (GMT+7),No,YES,,2023,S,Yes,,20,1,A,,NY,"1,5",,Yes,,,XAU/USD1,
,,SL,,-1,Yes,,,-1,-1,-2,-1,-1,-1,-1,,-1,,-1,,Yes,30. Oktober 2023 21:30 (GMT+7),No,Direkt SL,,2023,L,No,,18,-1,A,,NY,-1,,No,,,XAU/USD1,
,,YES,,3,Yes,,,1,2,4,3,-1,-1,3,,0,,-1,,Yes,6. November 2023 19:30 (GMT+7),No,YES,,2023,S,Yes,,16,1,A,,L,"1,5",,Yes,,,XAU/USD1,
,,SL,,-1,Yes,,,-1,-1,-2,-1,-1,-1,-1,,-1,,-1,a-,Yes,13. November 2023 12:40 (GMT+7),No,YES,,2023,S,No,,20,-1,A,,A,-1,,No,,,XAU/USD1,
,,YES,,-1,Yes,,,1,-1,-2,-1,-1,-1,"1,2",,-1,,-1,a-,Yes,17. November 2023 20:40 (GMT+7),No,YES,,2023,L,Yes,,18,-1,A,,NY,0,,No,,,XAU/USD1,
,,SL,,-1,Yes,,,-1,-1,-2,-1,-1,-1,-1,,-1,,-1,a+,Yes,21. November 2023 20:00 (GMT+7),No,Direkt SL,,2023,S,No,,26,-1,A,,NY,-1,,No,,,XAU/USD1,
,,YES,,-1,Yes,,,1,-1,-2,-1,-1,-1,1,,-1,,-1,a,Yes,14. Dezember 2023 14:00 (GMT+7),No,YES,,2023,L,No,,16,-1,A,,A,0,,No,,,XAU/USD1,
,,YES,TP,3,Yes,,,1,2,4,3,4,8,34,,"18,25",,7,a+,Yes,19. Dezember 2023 11:20 (GMT+7),No,YES,,2023,L,No,,15,"4,5",A,,A,"1,5",,Yes,,,XAU/USD1,
,,SL,,-1,Yes,,,-1,-1,-2,-1,-1,-1,-1,,-1,,-1,,Yes,27. Dezember 2023 02:45 (GMT+7),No,Direkt SL,,2023,L,Yes,,19,-1,A,,NY,-1,,No,,,XAU/USD1,
,,NO,,3,Yes,,,1,2,4,3,-1,-1,"3,8",,0,,-1,a+,Yes,4. Januar 2024 22:30 (GMT+7),No,NO,,2024,S,Yes,,16,1,A,,NY,"1,5",,Yes,,,XAU/USD1,
,,SL,,-1,Yes,,,-1,-1,-2,-1,-1,-1,-1,,-1,,-1,a+,Yes,22. Januar 2024 20:30 (GMT+7),No,Direkt SL,,2024,L,Yes,,13,-1,A,,NY,-1,,No,,,XAU/USD1,
,,SL,,-1,Yes,,,-1,-1,-2,-1,-1,-1,-1,,-1,,-1,a,Yes,26. Januar 2024 16:45 (GMT+7),No,YES,,2024,S,No,,15,-1,A,,L,-1,,No,,,XAU/USD1,
,,NO,TP,3,Yes,,,1,2,4,3,4,8,14,,"2,75",,7,a,Yes,31. Januar 2024 09:15 (GMT+7),No,NO,,2024,L,No,,16,"4,5",A,,A,"1,5",,Yes,,,XAU/USD1,
,,SL,,-1,Yes,,,-1,-1,-2,-1,-1,-1,-1,,-1,,-1,a+,Yes,21. Februar 2024 09:00 (GMT+7),No,Direkt SL,,2024,S,No,,17,-1,A,,A,-1,,No,,,XAU/USD1,
,,YES,,-1,Yes,,,1,2,4,-1,-1,-1,"2,5",,-1,,-1,,Yes,25. September 2024 21:50 (GMT+7),No,YES,,2024,L,No,,20,1,A,,NY,"1,5",,Yes,,,XAU/USD1,
,,SL,,-1,Yes,,,-1,-1,-2,-1,-1,-1,-1,,-1,,-1,a+,Yes,3. Oktober 2024 19:40 (GMT+7),No,Direkt SL,,2024,L,No,,22,-1,A,,NY,-1,,No,,,XAU/USD1,
,Yes,SL,,-1,Yes,,,-1,-1,-2,-1,-1,-1,-1,,-1,,-1,a,Yes,17. Oktober 2024 17:05 (GMT+7),No,Direkt SL,,2024,S,Yes,,15,-1,A,,L,-1,,No,,,XAU/USD1,
,,YES,,-1,Yes,,,1,-1,-2,-1,-1,-1,"1,8",,-1,,-1,a+,Yes,22. März 2024 22:20 (GMT+7),No,YES,,2024,L,Yes,,20,-1,A,,NY,0,,No,,,XAU/USD1,
,,YES,,-1,Yes,,,1,-1,-2,-1,-1,-1,"1,3",,-1,,-1,a,Yes,28. März 2024 07:30 (GMT+7),No,YES,,2024,S,No,,25,-1,A,,A,0,,No,,,XAU/USD1,
,,SL,,-1,Yes,,,-1,-1,-2,-1,-1,-1,-1,,-1,,-1,a,Yes,8. April 2024 18:45 (GMT+7),No,YES,,2024,L,No,,28,-1,A,,L,-1,,No,,,XAU/USD1,
,,SL,,-1,Yes,,,-1,-1,-2,-1,-1,-1,-1,,-1,,-1,a+,Yes,10. April 2024 09:30 (GMT+7),No,Direkt SL,,2024,S,Yes,,15,-1,A,,A,-1,,No,,,XAU/USD1,
,,SL,,-1,Yes,,,-1,-1,-2,-1,-1,-1,-1,,-1,,-1,a+,Yes,15. April 2024 23:40 (GMT+7),No,Direkt SL,,2024,S,No,,61,-1,A,,NY,-1,,No,,,XAU/USD1,
,,YES,,-1,Yes,,,1,-1,-2,-1,-1,-1,1,,-1,,-1,a,Yes,16. April 2024 20:05 (GMT+7),No,YES,,2024,L,No,,44,-1,A,,NY,0,,No,,,XAU/USD1,
,,SL,,-1,Yes,,,-1,-1,-2,-1,-1,-1,-1,,-1,,-1,a+,Yes,16. April 2024 22:00 (GMT+7),No,Direkt SL,,2024,S,Yes,,26,-1,A,,NY,-1,,No,,,XAU/USD1,
,,YES,TP,3,Yes,,,1,2,4,3,4,8,53,,"18,25",,7,a+,Yes,14. Mai 2024 13:35 (GMT+7),No,YES,,2024,L,No,,22,"4,5",A,,A,"1,5",,Yes,,,XAU/USD1,
,,YES,,-1,Yes,,,1,2,4,-1,-1,-1,"2,3",,-1,,-1,a-,Yes,16. Mai 2024 09:00 (GMT+7),No,YES,,2024,L,No,,30,1,A,,A,"1,5",,Yes,,,XAU/USD1,
,,NO,,3,Yes,,,1,2,4,3,4,-1,5,,0,,-1,a+,Yes,17. Mai 2024 09:30 (GMT+7),No,NO,,2024,S,Yes,,13,1,A,,A,"1,5",,Yes,,,XAU/USD1,
,,SL,,-1,Yes,,,-1,-1,-2,-1,-1,,-1,,-1,,-1,a+,Yes,10. Juni 2024 14:20 (GMT+7),No,Direkt SL,,2024,S,Yes,,24,-1,A,,L,-1,,No,,,XAU/USD1,
,,YES,BE,3,Yes,,,1,2,4,3,4,8,22,,"2,75",,7,a,Yes,11. Juni 2024 14:40 (GMT+7),No,YES,JA,2024,L,Yes,HTF Ja D1 OB Gleiche Richtung Ja,20,1,A,,L,"1,5",,Yes,,,XAU/USD1,
,,YES,,-1,Yes,,,1,2,4,-1,-1,-1,"2,3",,-1,,-1,a+,Yes,24. Juni 2024 21:00 (GMT+7),No,YES,,2024,L,No,,31,1,A,,NY,"1,5",,Yes,,,XAU/USD1,
,Yes,SL,,-1,Yes,,,-1,-1,-2,-1,-1,-1,-1,,-1,,-1,a+,Yes,25. Juni 2024 19:15 (GMT+7),No,YES,,2024,L,Yes,,29,-1,A,,NY,-1,,No,,,XAU/USD1,
,,YES,,3,Yes,,,1,2,4,3,-1,-1,3,,0,,-1,a,Yes,27. Juni 2024 11:00 (GMT+7),No,YES,,2024,S,No,,15,1,A,,A,"1,5",,Yes,,,XAU/USD1,
3 be,,YES,,3,Yes,,,1,2,4,3,4,-1,"5,5",,0,,-1,a+,Yes,2. Juli 2024 13:00 (GMT+7),No,YES,,2024,S,Yes,,21,1,A,,A,"1,5",,Yes,,,XAU/USD1,
,,NO,TP,3,Yes,,,1,2,4,3,4,8,41,,"18,25",,7,a,Yes,8. Juli 2024 12:15 (GMT+7),No,NO,,2024,S,Yes,,13,"4,5",A,,A,"1,5",,Yes,,,XAU/USD1,
,,YES,,3,Yes,,,1,2,4,3,4,-1,"4,7",,0,,-1,a+,Yes,9. Juli 2024 16:15 (GMT+7),No,YES,,2024,S,Yes,,18,1,A,,L,"1,5",,Yes,,,XAU/USD1,
